中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
165.1.74.145,443.0,165.1.74.145,US,San Jose,中转,123 ms,1208 Mbps,154624 kB/s,154624.0
152.70.117.174,443.0,152.70.117.174,US,San Jose,中转,19 ms,1136 Mbps,145408 kB/s,145408.0
192.18.140.32,443.0,2603:c024:c001:187e:bf78:be6d:4:259b,US,San Jose,隧道,16 ms,1080 Mbps,138240 kB/s,138240.0
43.153.80.208,443.0,43.153.80.208,US,San Jose,中转,22 ms,1056 Mbps,135168 kB/s,135168.0
43.153.103.203,443.0,43.153.103.203,US,San Jose,中转,17 ms,936 Mbps,119808 kB/s,119808.0
184.169.181.217,443.0,184.169.181.217,US,San Jose,中转,95 ms,904 Mbps,115712 kB/s,115712.0
198.23.254.51,443.0,198.23.254.51,US,San Jose,中转,28 ms,624 Mbps,79872 kB/s,79872.0
198.23.236.101,443.0,198.23.236.101,US,San Jose,中转,28 ms,618 Mbps,79155 kB/s,79155.0
35.230.79.26,443.0,34.169.47.4,US,Seattle,隧道,36 ms,553 Mbps,70860 kB/s,70860.0
35.197.23.75,443.0,34.169.47.4,US,Seattle,隧道,40 ms,548 Mbps,70246 kB/s,70246.0
23.94.43.51,443.0,23.94.43.51,US,Seattle,中转,41 ms,509 Mbps,65228 kB/s,65228.0
3.144.191.4,443.0,3.144.191.4,US,Columbus,中转,58 ms,404 Mbps,51712 kB/s,51712.0
18.216.55.100,443.0,18.216.55.100,US,Columbus,中转,56 ms,388 Mbps,49664 kB/s,49664.0
35.202.158.120,443.0,35.202.158.120,US,Chicago,中转,56 ms,369 Mbps,47308 kB/s,47308.0
140.84.179.114,443.0,140.84.179.114,MX,Dallas,中转,48 ms,341 Mbps,43724 kB/s,43724.0
47.88.15.127,443.0,47.88.15.127,US,San Jose,中转,16 ms,284 Mbps,36352 kB/s,36352.0
152.70.155.147,443.0,152.70.155.147,US,Los Angeles,中转,31 ms,262 Mbps,33587 kB/s,33587.0
3.112.21.102,443.0,3.112.21.102,JP,Tokyo,中转,109 ms,158 Mbps,20275 kB/s,20275.0
3.67.25.193,443.0,18.197.218.69,DE,Frankfurt,隧道,138 ms,154 Mbps,19763 kB/s,19763.0
23.94.217.204,443.0,23.94.217.204,NL,Amsterdam,中转,137 ms,148 Mbps,19046 kB/s,19046.0
18.184.55.249,443.0,18.184.55.249,DE,Frankfurt,中转,137 ms,148 Mbps,18944 kB/s,18944.0
141.148.227.19,443.0,141.148.227.19,NL,Amsterdam,中转,128 ms,142 Mbps,18227 kB/s,18227.0
130.61.23.77,443.0,130.61.23.77,DE,Frankfurt,中转,141 ms,141 Mbps,18124 kB/s,18124.0
158.101.209.76,443.0,158.101.209.76,NL,Amsterdam,中转,128 ms,140 Mbps,18022 kB/s,18022.0
18.197.218.69,443.0,18.197.218.69,DE,Frankfurt,中转,138 ms,136 Mbps,17408 kB/s,17408.0
129.154.50.159,443.0,129.154.50.159,KR,Seoul,中转,141 ms,134 Mbps,17203 kB/s,17203.0
138.2.123.70,443.0,138.2.123.70,KR,Seoul,中转,134 ms,133 Mbps,17100 kB/s,17100.0
158.178.147.110,443.0,2a0b:21c0:1007:c9:0:a75b:7b17:69cb,DE,Frankfurt,隧道,192 ms,133 Mbps,17100 kB/s,17100.0
35.201.203.106,443.0,35.201.203.106,TW,Taipei,中转,144 ms,131 Mbps,16793 kB/s,16793.0
141.144.197.111,443.0,141.144.197.111,NL,Amsterdam,中转,128 ms,131 Mbps,16793 kB/s,16793.0
150.230.122.76,443.0,150.230.122.76,GB,London,中转,132 ms,130 Mbps,16691 kB/s,16691.0
146.56.161.229,443.0,146.56.161.229,KR,Seoul,中转,134 ms,128 Mbps,16384 kB/s,16384.0
141.147.92.143,443.0,2603:c020:c004:772b:9990:35f2:2b42:33dd,GB,London,隧道,156 ms,126 Mbps,16179 kB/s,16179.0
130.162.169.173,443.0,2606:f240:f00:5a42:0:3de9:9f9:569,US,Toronto,隧道,145 ms,119 Mbps,15257 kB/s,15257.0
192.9.177.204,443.0,192.9.177.204,AU,Sydney,中转,151 ms,116 Mbps,14950 kB/s,14950.0
129.154.50.220,443.0,129.154.50.220,KR,Tokyo,中转,133 ms,109 Mbps,14028 kB/s,14028.0
150.136.240.243,443.0,150.136.240.243,US,Ashburn,中转,64 ms,108 Mbps,13824 kB/s,13824.0
141.144.199.182,443.0,2a0b:21c0:1007:cb:0:d02b:cebf:e1bb,DE,Toronto,隧道,135 ms,100 Mbps,12902 kB/s,12902.0
193.122.127.101,443.0,128.14.110.206,SG,Singapore,隧道,201 ms,83 Mbps,10649 kB/s,10649.0
143.47.235.231,443.0,2a0b:21c0:100a:1b4:0:3fe0:f754:581b,DE,San Jose,隧道,259 ms,81 Mbps,10444 kB/s,10444.0
152.67.131.41,443.0,2a0b:21c0:1007:c8:0:ff54:f64b:7e51,DE,Chicago,隧道,148 ms,80 Mbps,10342 kB/s,10342.0
140.238.28.86,443.0,140.238.28.86,KR,Seoul,中转,142 ms,79 Mbps,10137 kB/s,10137.0
130.162.250.180,443.0,2603:c020:8014:a8ee:cad4:eb37:5749:cafa,DE,Frankfurt,隧道,136 ms,76 Mbps,9776 kB/s,9776.0
132.226.114.74,443.0,132.226.114.74,US,Los Angeles,中转,52 ms,73 Mbps,9467 kB/s,9467.0
193.122.125.223,443.0,193.122.125.223,KR,Seoul,中转,137 ms,60 Mbps,7784 kB/s,7784.0
144.24.80.56,443.0,2603:c024:8:5677:6f45:947f:3e3a:1eb8,KR,Seoul,隧道,134 ms,60 Mbps,7747 kB/s,7747.0
141.145.217.226,443.0,141.145.217.226,FR,Paris,中转,131 ms,51 Mbps,6627 kB/s,6627.0
141.148.203.6,443.0,141.148.203.6,IN,Mumbai,中转,235 ms,50 Mbps,6404 kB/s,6404.0
150.230.238.226,443.0,150.230.238.226,IN,Mumbai,中转,235 ms,49 Mbps,6329 kB/s,6329.0
130.162.228.90,443.0,130.162.228.90,DE,Frankfurt,中转,214 ms,49 Mbps,6312 kB/s,6312.0
158.101.148.105,443.0,158.101.148.105,JP,Tokyo,中转,294 ms,49 Mbps,6303 kB/s,6303.0
193.122.58.158,443.0,193.122.58.158,DE,Chicago,中转,233 ms,48 Mbps,6213 kB/s,6213.0
84.235.169.234,443.0,84.235.169.234,NL,Amsterdam,中转,137 ms,45 Mbps,5806 kB/s,5806.0
152.67.65.201,443.0,152.67.65.201,CH,Zurich,中转,153 ms,44 Mbps,5691 kB/s,5691.0
129.154.59.99,443.0,129.154.59.99,KR,Seoul,中转,180 ms,44 Mbps,5674 kB/s,5674.0
168.138.215.251,443.0,168.138.215.251,JP,Tokyo,中转,160 ms,43 Mbps,5592 kB/s,5592.0
155.248.184.2,443.0,155.248.184.2,JP,Tokyo,中转,161 ms,41 Mbps,5326 kB/s,5326.0
47.89.151.17,443.0,47.89.151.17,US,Ashburn,中转,71 ms,40 Mbps,5141 kB/s,5141.0
168.138.46.67,443.0,168.138.46.67,JP,Osaka,中转,155 ms,40 Mbps,5139 kB/s,5139.0
131.186.17.132,443.0,131.186.17.132,KR,Seoul,中转,200 ms,39 Mbps,5050 kB/s,5050.0
152.67.44.30,443.0,152.67.44.30,BR,São Paulo,中转,179 ms,39 Mbps,5000 kB/s,5000.0
152.69.171.12,443.0,152.69.171.12,AU,Sydney,中转,160 ms,38 Mbps,4946 kB/s,4946.0
152.69.197.102,443.0,152.69.197.102,JP,Osaka,中转,194 ms,38 Mbps,4943 kB/s,4943.0
150.230.106.97,443.0,150.230.106.97,JP,Tokyo,中转,172 ms,38 Mbps,4911 kB/s,4911.0
168.138.209.31,443.0,2a09:bac1:3b40:138::16:1cb,JP,Tokyo,隧道,172 ms,38 Mbps,4902 kB/s,4902.0
140.83.61.244,443.0,140.83.61.244,JP,Osaka,中转,155 ms,37 Mbps,4802 kB/s,4802.0
129.159.34.122,443.0,129.159.34.122,US,San Jose,中转,21 ms,37 Mbps,4751 kB/s,4751.0
144.24.90.107,443.0,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,134 ms,34 Mbps,4461 kB/s,4461.0
141.148.229.106,443.0,141.148.229.106,NL,Amsterdam,中转,137 ms,34 Mbps,4440 kB/s,4440.0
129.154.46.115,443.0,104.28.201.82,IN,Hyderabad,隧道,225 ms,31 Mbps,3969 kB/s,3969.0
192.9.180.162,443.0,192.9.180.162,AU,Sydney,中转,154 ms,29 Mbps,3743 kB/s,3743.0
152.70.88.98,443.0,2a09:bac5:4753:1a14::299:14,KR,Seoul,隧道,200 ms,26 Mbps,3364 kB/s,3364.0
47.57.13.107,443.0,8.212.11.54,HK,Hong Kong,隧道,155 ms,10 Mbps,1398 kB/s,1398.0
144.21.53.157,443.0,2a09:bac5:3803:ebe::178:119,GB,London,隧道,241 ms,10 Mbps,1336 kB/s,1336.0
47.242.72.208,443.0,47.242.72.208,HK,Hong Kong,中转,0 ms,10 Mbps,1310 kB/s,1310.0
47.88.93.96,443.0,47.251.149.50,US,San Jose,隧道,30 ms,3 Mbps,464 kB/s,464.0
54.169.229.188,443.0,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,177 ms,2 Mbps,369 kB/s,369.0
47.89.182.61,443.0,47.251.149.55,US,San Jose,隧道,71 ms,2 Mbps,333 kB/s,333.0
8.209.77.140,443.0,47.251.149.48,US,San Jose,隧道,249 ms,2 Mbps,330 kB/s,330.0
47.254.65.110,443.0,47.254.65.110,US,San Jose,中转,30 ms,2 Mbps,289 kB/s,289.0
8.216.88.20,443.0,47.251.149.54,US,San Jose,隧道,110 ms,2 Mbps,281 kB/s,281.0
8.211.197.133,443.0,47.251.149.55,US,San Jose,隧道,125 ms,2 Mbps,275 kB/s,275.0
146.56.162.25,443.0,146.56.162.25,KR,Seoul,中转,149 ms,0 Mbps,75 kB/s,75.0
47.57.245.232,443.0,47.254.73.153,US,San Jose,隧道,157 ms,0 Mbps,68 kB/s,68.0
8.210.92.27,443.0,8.210.92.27,HK,Hong Kong,中转,154 ms,0 Mbps,33 kB/s,33.0
